##Pressure(pascal),Temperature(K),depth(meters),density(kg/m^3)
100000.0,166.09999999999999,0.0,0.16451467592050523
200000.0,207.06,-19911.0,0.26394173351102018
300000.0,234.87,-33728.0,0.3490342019465566
400000.0,256.52999999999997,-44627.0,0.4260848660257423
500000.0,274.54000000000002,-53762.0,0.49766678207903975
600000.0,290.10000000000002,-61692.0,0.56516830755730951
700000.0,303.88,-68744.0,0.62946299095949532
800000.0,316.31,-75117.0,0.69111663040424687
900000.0,327.67000000000002,-80952.0,0.75055082562811126
1000000.0,338.16000000000003,-86346.0,0.80807569406186164
1100000.0,347.92000000000002,-91370.0,0.86394793163472949
1200000.0,357.07999999999998,-96081.0,0.91831144854024593
1300000.0,365.70999999999998,-100520.0,0.97136129642379732
1400000.0,373.87,-104730.0,1.0232498659575329
1500000.0,381.63999999999999,-108720.0,1.0740182241272893
1600000.0,389.04000000000002,-112530.0,1.1238284051160154
1700000.0,396.13,-116180.0,1.1726960603759637
1800000.0,402.93000000000001,-119670.0,1.2207231481079255
1900000.0,409.45999999999998,-123030.0,1.2679916615481912
2000000.0,415.75,-126260.0,1.3145345842643856
2100000.0,421.82999999999998,-129380.0,1.3603670698582704
2199999.9999999995,427.69999999999999,-132400.0,1.4055869271655597
2611888.6266360446,450.0,-143647.1004126388,1.5860483382009158
3135300.4437825056,475.0,-156262.14182158239,1.803681426099857
3728801.1018101769,500.0,-168883.10069633918,2.0378560010662685
4397610.967464529,525.0,-181509.64870545946,2.2889261583816536
5147093.8621183801,550.0,-194141.99480255041,2.5572528855496568
5982757.7749026613,575.0,-206780.65497373961,2.843202902890051
6910266.1333174761,600.0,-219426.44222669519,3.1471526021929082
7935451.8557552462,625.0,-232080.46288234397,3.4694922563872423
9064326.2213723436,650.0,-244744.03128439217,3.8106270789699219
10303085.700137304,675.0,-257418.58450884622,4.1709772222283616
11658125.12097911,700.0,-270105.67865573091,4.5509802500470844
13136052.41058724,725.0,-282806.98693650845,4.9510936910915913
14743699.183242384,750.0,-295524.25568471343,5.3717955696985253
16488129.888947003,775.0,-308259.26036658813,5.8135843256808162
18376655.593510732,800.0,-321013.80366850161,6.2769803313228376
20416848.604565214,825.0,-333789.71397133044,6.7625274127494386
22616551.847547058,850.0,-346588.81026122277,7.2707924150324246
24983886.235000312,875.0,-359412.86704036169,7.8023642151722203
27527262.535851419,900.0,-372263.61280134652,8.3578542658685961
30255393.472846832,925.0,-385142.72894750262,8.9378971185150515
33177300.337651577,950.0,-398051.82496000908,9.5431492866700562
36302317.350187615,975.0,-410992.41356502636,10.174287652167093
39640099.748528242,1000.0,-423965.90965400595,10.83200912971572
43200631.626115367,1025.0,-436973.63006490539,11.517030313223236
46994231.845400646,1050.0,-450016.78855012538,12.230086672037718
51031558.869789459,1075.0,-463096.49074444838,12.971931584381982
55323616.014029361,1100.0,-476213.73394625209,13.743335606540752
59881756.173067413,1125.0,-489369.40755655052,14.545085712811355
64717689.488309853,1150.0,-502564.30317691865,15.377985332566238
69843491.53215532,1175.0,-515799.12470741681,16.242854503114252
75271608.034205228,1200.0,-529074.48878563114,17.14052921593969
81014858.753211826,1225.0,-542390.92476508941,18.071860652434758
87086440.354361862,1250.0,-555748.87421882118,19.037714293903409
93499928.376214415,1275.0,-569148.69044291764,20.038968941164693
100269278.45747539,1300.0,-582590.6384349484,21.076515691697089
107408827.22458339,1325.0,-596074.89605704823,22.151256962625876
114933307.04603866,1350.0,-609601.58078694984,23.264108429090193
122857864.52884167,1375.0,-623170.77646901365,24.41600149483525
131198067.10597879,1400.0,-636782.53447731701,25.607883173650297
139969908.2015402,1425.0,-650436.87287436251,26.840715710532734
149189799.04059759,1450.0,-664133.75706138671,28.115473725188345
158874556.07618093,1475.0,-677873.0804286669,29.43314083404567
169041397.58904308,1500.0,-691654.66351423075,30.794708281099506
179707940.73194474,1525.0,-705478.25544803601,32.201173783077301
190892224.03530616,1550.0,-719343.56716811017,33.653544975102108
202612736.4130224,1575.0,-733250.30463668902,35.152843655960545
214888424.72414482,1600.0,-747198.17028439697,36.700105973001932
227738699.88918504,1625.0,-761186.8626221912,38.296382346916168
241183434.43601012,1650.0,-775216.06731608941,39.942735983992186
255242957.60159466,1675.0,-789285.44826189498,41.640241122870457
269938056.85517812,1700.0,-803394.64719714283,43.389982468173784
285289979.37432897,1725.0,-817543.28380914009,45.193054665927427
301320435.78455013,1750.0,-831730.95821992087,47.050562177390638
318051604.08982849,1775.0,-845957.2534712007,48.963619192945842
335506130.85925168,1800.0,-860221.73563241726,50.933349136605905
353707132.74878263,1825.0,-874523.95451451617,52.960884261430415
372678219.06635493,1850.0,-888863.46008700528,55.047368386002248
392443519.33534861,1875.0,-903239.81889500935,57.193960140440439
413027693.4081372,1900.0,-917652.61477305496,59.401833446492006
434455940.00926423,1925.0,-932101.4481555766,61.672177737295698
456753981.43098503,1950.0,-946585.92021853779,64.006194818406158
479948042.6212225,1975.0,-961105.61702105496,66.40509519136161
504064849.83103901,2000.0,-975660.10881590226,68.870097325389793
