# Depth(m), Pressure(Pa), Temperature(K), X_H2O, X_CH4, X_C2H6, X_CO, X_CO2
1.53147952e+05 3.00005123e+06 4.68839141e+02 8.37629060e-03 2.02569500e-03 -2.28646336e-12 -5.46380646e-19 -4.72365529e-19
1.62928533e+05 3.43961793e+06 4.88201691e+02 8.37710445e-03 2.02589101e-03 2.51790604e-11 6.01686932e-18 5.20179784e-18
1.72709114e+05 3.92334205e+06 5.07577864e+02 8.37591714e-03 2.02560511e-03 -3.38650347e-12 -7.81408435e-19 -4.90931126e-19
1.82489695e+05 4.45280727e+06 5.26939828e+02 8.37699981e-03 2.02586583e-03 1.44385314e-11 3.14255136e-18 6.76219714e-19
1.92270276e+05 5.03075923e+06 5.46296433e+02 8.37627528e-03 2.02569108e-03 -1.86914519e-12 -2.60466041e-19 -7.38537437e-19
2.02050856e+05 5.65963557e+06 5.65645813e+02 8.37666763e-03 2.02578638e-03 7.45602557e-12 -5.46710475e-18 7.56760083e-18
2.11831437e+05 6.34193594e+06 5.84986883e+02 8.37649935e-03 2.02574460e-03 -9.86051482e-13 6.07075628e-17 -6.28979310e-19
2.21612018e+05 7.08023958e+06 6.04319183e+02 8.37656190e-03 2.02576091e-03 4.00591966e-12 -1.09187359e-16 -2.59863647e-18
2.31392599e+05 7.87713332e+06 6.23641477e+02 8.37654719e-03 2.02575667e-03 2.08191208e-14 1.15933225e-15 2.74818866e-17
2.41173180e+05 8.73525167e+06 6.42952609e+02 8.37654962e-03 2.02575706e-03 3.74528963e-12 -2.70126087e-16 1.19514318e-17
2.50953760e+05 9.65726212e+06 6.62251311e+02 8.37654941e-03 2.02575812e-03 4.92000700e-12 1.93514445e-15 1.85282963e-17
2.60734341e+05 1.06458697e+07 6.81536236e+02 8.37654932e-03 2.02575627e-03 7.83076078e-12 -3.30821154e-16 -8.96997770e-17
2.70514922e+05 1.17038186e+07 7.00805969e+02 8.37654940e-03 2.02575850e-03 1.22500946e-11 1.48628497e-15 4.15956909e-16
2.80295503e+05 1.28338909e+07 7.20059024e+02 8.37654937e-03 2.02575613e-03 1.71365767e-11 4.36112212e-15 4.42307749e-15
2.90076084e+05 1.40389051e+07 7.39293879e+02 8.37654937e-03 2.02575845e-03 2.65140770e-11 -1.35291448e-14 1.52717193e-14
2.99856664e+05 1.53217184e+07 7.58509006e+02 8.37654937e-03 2.02575616e-03 3.50159934e-11 1.47831596e-13 4.21351393e-14
3.09637245e+05 1.66852283e+07 7.77702878e+02 8.37654937e-03 2.02575837e-03 4.01343984e-11 -2.50341262e-13 1.03912494e-13
3.19417826e+05 1.81323731e+07 7.96873964e+02 8.37654937e-03 2.02575596e-03 1.20123654e-10 2.45012347e-12 2.17256726e-13
3.29198407e+05 1.96661296e+07 8.16020731e+02 8.37654939e-03 2.02575879e-03 -6.12320012e-11 9.13543644e-13 4.35992402e-13
3.38978988e+05 2.12895149e+07 8.35141673e+02 8.37654925e-03 2.02575460e-03 5.70981734e-10 1.40947180e-11 9.04513868e-13
3.48759568e+05 2.30055885e+07 8.54235325e+02 8.37654946e-03 2.02576123e-03 -2.19882926e-10 1.97752735e-11 1.16633671e-12
3.58540149e+05 2.48174531e+07 8.73300281e+02 8.37654915e-03 2.02575040e-03 1.94298364e-09 4.69860381e-11 3.65054691e-12
3.68320730e+05 2.67282534e+07 8.92335184e+02 8.37654910e-03 2.02576453e-03 -3.41135461e-10 1.36492467e-10 1.51750610e-12
3.78101311e+05 2.87411755e+07 9.11338728e+02 8.37654928e-03 2.02575117e-03 2.13058950e-09 1.56881731e-10 1.17793259e-11
3.87881892e+05 3.08594505e+07 9.30309672e+02 8.37654855e-03 2.02575815e-03 -1.07891297e-10 5.07540032e-10 4.13122590e-12
3.97662472e+05 3.30863552e+07 9.49246849e+02 8.37654880e-03 2.02575571e-03 5.71678983e-10 8.80610200e-10 1.93089100e-11
4.07443053e+05 3.54252111e+07 9.68149181e+02 8.37654738e-03 2.02575418e-03 5.49016256e-10 1.58806409e-09 2.40776556e-11
4.17223634e+05 3.78793832e+07 9.87015672e+02 8.37654602e-03 2.02575265e-03 6.70216527e-10 3.53807663e-09 3.03028204e-11
4.27004215e+05 4.04522836e+07 1.00584541e+03 8.37654406e-03 2.02575058e-03 7.96905994e-10 4.99049210e-09 7.52558500e-11
4.36784796e+05 4.31473719e+07 1.02463755e+03 8.37654181e-03 2.02574793e-03 9.41264815e-10 7.42122164e-09 9.19824671e-11
4.46565376e+05 4.59681551e+07 1.04339136e+03 8.37653846e-03 2.02574434e-03 1.10473266e-09 1.06150832e-08 1.25542592e-10
4.56345957e+05 4.89181858e+07 1.06210615e+03 8.37653413e-03 2.02573965e-03 1.28854393e-09 1.48766093e-08 1.64707319e-10
4.66126538e+05 5.20010649e+07 1.08078136e+03 8.37652840e-03 2.02573354e-03 1.49432847e-09 2.05002686e-08 2.12521877e-10
4.75907119e+05 5.52204435e+07 1.09941645e+03 8.37652092e-03 2.02572563e-03 1.72346010e-09 2.78490673e-08 2.70754688e-10
4.85687700e+05 5.85800215e+07 1.11801102e+03 8.37651126e-03 2.02571556e-03 1.97743707e-09 3.73439973e-08 3.41370727e-10
4.95468280e+05 6.20835461e+07 1.13656469e+03 8.37649896e-03 2.02570252e-03 2.25768762e-09 4.94656897e-08 4.26212846e-10
5.05248861e+05 6.57348147e+07 1.15507716e+03 8.37648341e-03 2.02568694e-03 2.56562965e-09 6.47642937e-08 5.27217862e-10
5.15029442e+05 6.95376768e+07 1.17354819e+03 8.37646409e-03 2.02566588e-03 2.90264917e-09 8.38634658e-08 6.46426757e-10
5.24810023e+05 7.34960319e+07 1.19197759e+03 8.37644009e-03 2.02564295e-03 3.27010213e-09 1.07462835e-07 7.85969817e-10
5.34590604e+05 7.76138281e+07 1.21036525e+03 8.37641098e-03 2.02561067e-03 3.66927902e-09 1.36337921e-07 9.48039669e-10
