# Depth(m), Pressure(Pa), Temperature(K), X_H2O, X_CH4, X_C2H6, X_CO, X_CO2
1.53147952e+05 3.00005123e+06 4.68839141e+02 8.37654945e-03 2.02575726e-03 3.29943100e-11 5.15117517e-11 1.29799265e-12
1.62928533e+05 3.43961793e+06 4.88201691e+02 8.37654945e-03 2.02575725e-03 3.44392879e-11 5.55507022e-11 1.40117118e-12
1.72709114e+05 3.92334205e+06 5.07577864e+02 8.37654944e-03 2.02575724e-03 3.72191893e-11 6.34252994e-11 1.60280993e-12
1.82489695e+05 4.45280727e+06 5.26939828e+02 8.37654942e-03 2.02575722e-03 4.12575297e-11 7.51119443e-11 1.90321814e-12
1.92270276e+05 5.03075923e+06 5.46296433e+02 8.37654941e-03 2.02575719e-03 4.65032838e-11 9.07288095e-11 2.30677269e-12
2.02050856e+05 5.65963557e+06 5.65645813e+02 8.37654939e-03 2.02575716e-03 5.29233456e-11 1.10501289e-10 2.82107585e-12
2.11831437e+05 6.34193594e+06 5.84986883e+02 8.37654936e-03 2.02575712e-03 6.04958512e-11 1.34730419e-10 3.45620495e-12
2.21612018e+05 7.08023958e+06 6.04319183e+02 8.37654933e-03 2.02575707e-03 6.92039540e-11 1.63762108e-10 4.22398522e-12
2.31392599e+05 7.87713332e+06 6.23641477e+02 8.37654930e-03 2.02575702e-03 7.90302039e-11 1.97956888e-10 5.13726509e-12
2.41173180e+05 8.73525167e+06 6.42952609e+02 8.37654925e-03 2.02575696e-03 8.99515468e-11 2.37659823e-10 6.20917191e-12
2.50953760e+05 9.65726212e+06 6.62251311e+02 8.37654921e-03 2.02575689e-03 1.01934987e-10 2.83170631e-10 7.45233723e-12
2.60734341e+05 1.06458697e+07 6.81536236e+02 8.37654915e-03 2.02575681e-03 1.14934000e-10 3.34714568e-10 8.87809490e-12
2.70514922e+05 1.17038186e+07 7.00805969e+02 8.37654909e-03 2.02575672e-03 1.28885759e-10 3.92414954e-10 1.04956647e-11
2.80295503e+05 1.28338909e+07 7.20059024e+02 8.37654902e-03 2.02575662e-03 1.43709282e-10 4.56268968e-10 1.23113458e-11
2.90076084e+05 1.40389051e+07 7.39293879e+02 8.37654895e-03 2.02575652e-03 1.59304603e-10 5.26129288e-10 1.43277507e-11
2.99856664e+05 1.53217184e+07 7.58509006e+02 8.37654887e-03 2.02575641e-03 1.75553309e-10 6.01696471e-10 1.65431161e-11
3.09637245e+05 1.66852283e+07 7.77702878e+02 8.37654878e-03 2.02575629e-03 1.92321721e-10 6.82533219e-10 1.89507205e-11
